scope,strategy,marketFrequency,maxChangesPerWindow,stopLossThreshold,takeProfitThreshold,numScenarios,avgROI,medianROI,bestROI,worstROI,volatility,pctAbove0,pctAbove7,pctAbove10,avgTrades,avgCommissions,avgPlatformRevenue,avgDeltaVsHold,overtradingRisk
completed,HOLD,5,5,-5,15,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,5,5,-10,7,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,5,5,-10,10,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,5,5,-10,15,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,1,-5,7,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,1,-5,10,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,1,-5,15,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,1,-10,7,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,1,-10,10,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,1,-10,15,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,3,-5,7,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,3,-5,10,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,3,-5,15,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,3,-10,7,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,3,-10,10,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,3,-10,15,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
